name,fullname,dob,country,position,foot,weight,height,potential,elo,href
Beto,Roberto Luís Gaspar De Deus Severo,1976-05-03,Portugal,DF (Defender),Unknown,74.0,185.0,80,80,/player/roberto-luis-gaspar-de-deus-severo
Irurzun,Ismael Marchal Razquín,1975-03-21,Spain,STR (Striker),Unknown,68.0,174.0,69,69,/player/irurzun-257663
Aleksandr Kerzhakov,Aleksandr Anatolyevich Kerzhakov,1982-11-27,Russia,STR (Striker),Right,67.0,175.0,81,81,/player/a-kerzhakov-70855
Ximun Duhour,Ximun Duhour Demay,1984-04-06,France,GOA (Goalkeeper),Unknown,85.0,188.0,48,48,/player/ximun-257677
Aarón,Aarón Níguez Esclapez,1989-04-26,Spain,STR (Striker),Right,69.0,170.0,65,39,/player/aaron-23240
Dani Bea,Daniel Bea Neira,1989-02-12,Spain,STR (Striker),Two-Footed,68.0,170.0,40,40,/player/dani-bea-90128
Pablo Cavallero,Pablo Oscar Cavallero Rodriguez,1974-04-13,Argentina,GOA (Goalkeeper),Unknown,76.0,183.0,82,81,/player/pablo-cavallero
Nikola Zigic,Nikola Žigić,1980-09-25,Serbia,STR (Striker),Right,90.0,202.0,76,76,/player/nikola-zigic
Maris Verpakovskis,Maris Verpakovskis,1979-10-15,Latvia,STR (Striker),Unknown,70.0,173.0,56,56,/player/m-verpakovskis-7580
Juan Albín,Juan Ángel Albín Leites,1986-07-17,Uruguay,MID (Midfielder),Left-footed,85.0,180.0,77,51,/player/j-albin-23513
Fabricio,Fabricio Agosto Ramírez,1987-12-31,Spain,GOA (Goalkeeper),Right,67.0,185.0,79,38,/player/fabri-31478
Filipe Luis,Filipe Luis Kasmirski,1985-08-09,Brazil,DF (Defender),Left-footed,74.0,182.0,90,79,/player/filipe-luis-23573
Juan Tejera,Juan Antonio Tejera,1988-03-08,Spain,GOA (Goalkeeper),Unknown,82.0,186.0,49,32,/player/tejera-34273
Andrés D'alessandro,Andrés Nicolás D'Alessandro,1981-04-15,Argentina,MID (Midfielder),Left-footed,68.0,174.0,82,51,/player/a-d-alessandro-7377
Daniel Abalo,Daniel Abalo Poulos,1987-09-29,Spain,STR (Striker),Right,68.0,172.0,66,66,/player/d-abalo-30486
Merino,Juan Merino Ruiz,1970-08-24,Spain,DF (Defender),Unknown,71.0,175.0,84,84,/player/juan-merino
Roberto Lago,Roberto Lago Soto,1985-08-30,Spain,DF (Defender),Left-footed,76.0,178.0,72,72,/player/r-lago-28946
Zé Castro,José Eduardo Rosa Vale E Castro,1983-01-13,Portugal,DF (Defender),Right,69.0,183.0,73,55,/player/ze-castro-23575
Emilio Guerra,José Emilio Guerra Rodríguez,1982-03-15,Spain,STR (Striker),Two-Footed,78.0,181.0,56,56,/player/guerra-34819
Albano Bizzarri,Albano Benjamín Bizzarri,1977-11-09,Argentina,GOA (Goalkeeper),Right,75.0,188.0,79,79,/player/a-bizzarri-11096
Diego Camacho,Diego Camacho,1976-10-03,Spain,MID (Midfielder),Unknown,82.0,186.0,73,73,/player/diego-camacho-quesada
Sylvain N'diayé,Sylvain Patrick Jean N'Diaye,1976-06-25,France,MID (Midfielder),Unknown,68.0,179.0,78,78,/player/n-diaye-257673
Juanma,Juan Manuel Gómez Sánchez,1981-05-29,Spain,MID (Midfielder),Right,72.0,176.0,69,68,/player/juanma-24014
Merino,Carlos Merino,1980-03-15,Spain,MID (Midfielder),Unknown,71.0,175.0,65,65,/player/carlos-merino-gonzalez
Andreas Hinkel,Andreas Hinkel,1982-03-26,Germany,DF (Defender),Unknown,70.0,183.0,84,84,/player/a-hinkel-3512
Fabio Cannavaro,Fabio Cannavaro,1973-09-13,Italy,DF (Defender),Right,75.0,176.0,88,88,/player/fabio-cannavaro
Goni,Raúl Goni,1988-10-12,Spain,DF (Defender),Left-footed,82.0,186.0,52,52,/player/goni-24022
Frédéric Déhu,Frédéric Fabian William Dehu,1972-10-24,France,DF (Defender),Unknown,80.0,186.0,84,84,/player/dehu-257660
Borja Valero,Borja Valero Iglesias,1985-01-12,Spain,MID (Midfielder),Right,73.0,175.0,85,85,/player/b-valero-13309
Javier Chica,Francisco Javier Chica Torres,1985-05-17,Spain,DF (Defender),Two-Footed,78.0,176.0,73,73,/player/j-chica-23352
Ignacio Monreal,Ignacio Monreal Eraso,1986-02-26,Spain,DF (Defender),Left-footed,72.0,179.0,88,83,/player/i-monreal-27033
Miguel Ramos,Miguel Ángel Ramos García,1984-03-09,Spain,STR (Striker),Right,76.0,186.0,53,53,/player/miguel-ramos-34397
Branko Ilić,Branko Ilić,1983-02-06,Slovenia,DF (Defender),Right,75.0,188.0,69,69,/player/b-ili-51683
Bamogo,Habib Nomwaya Bamogo,1982-05-08,France,STR (Striker),Right,76.0,176.0,74,74,/player/habib-bamogo
Ruz,Manuel Ruz,1986-04-05,Spain,DF (Defender),Unknown,70.0,169.0,61,61,/player/ruz-29224
Sergio Álvarez,Sergio Álvarez Conde,1986-08-03,Spain,GOA (Goalkeeper),Right,75.0,179.0,78,78,/player/s-alvarez-30878
Palanca,Miguel Palanca Fernandez,1987-12-18,Spain,MID (Midfielder),Right,73.0,171.0,63,63,/player/palanca-34908
Laurent Courtois,Laurent Courtois,1978-09-11,France,MID (Midfielder),Unknown,68.0,175.0,70,70,/player/l-courtois-7373
Marco Ortega,Marco Antonio Ortega Cotano,1976-08-27,Spain,DF (Defender),Unknown,73.0,176.0,65,65,/player/marco-ortega-72331
Daniel Estrada,Daniel Estrada Agirrezabalaga,1987-01-03,Spain,DF (Defender),Right,74.0,179.0,71,71,/player/d-estrada-30479
Richy,Ricardo Álvarez Puig,1984-09-11,Spain,DF (Defender),Right,80.0,184.0,71,71,/player/richy-30628
Jokin Esparza,Jokin Arcaya Esparza,1988-06-15,Spain,STR (Striker),Right,68.0,177.0,56,46,/player/jokin-esparza-23450
Iñaki Descarga,Iñaki Descarga Retegi,1976-08-25,Spain,DF (Defender),Unknown,70.0,175.0,71,71,/player/inaki-descarga
Bosko Jankovic,Bosko Jankovic,1984-03-01,Serbia,STR (Striker),Right,78.0,183.0,67,67,/player/bosko-jankovic
Javad Nekounam,Javad Nekounam,1980-09-07,Iran,MID (Midfielder),Unknown,78.0,186.0,80,79,/player/j-nekounam-7453
Nieto,Miguel Ángel Nieto De La Calle,1986-01-12,Spain,MID (Midfielder),Right,77.0,183.0,59,56,/player/nieto-27729
Eduardo Moya,Eduardo Moya Cantillo,1981-01-03,Spain,DF (Defender),Right,71.0,175.0,66,66,/player/e-moya-44823
Cristian Álvarez,Cristian Osvaldo Álvarez Reyes,1978-01-09,Argentina,DF (Defender),Right,73.0,183.0,78,78,/player/c-alvarez-54380
Javi García,Francisco Javier García Fernández,1987-02-08,Spain,MID (Midfielder),Right,82.0,187.0,79,60,/player/javi-garcia-36878
Cheli,José Manuel González Ortiz,1979-01-29,Spain,MID (Midfielder),Right,69.0,170.0,59,59,/player/jose-manuel-gonzalez-ortiz
Dani Bautista,Daniel Bautista Pina,1981-02-25,Spain,DF (Defender),Right,73.0,177.0,69,69,/player/bautista-29228
Juan Caffa,Juan Pablo Caffa,1984-09-30,Argentina,MID (Midfielder),Left-footed,73.0,184.0,66,66,/player/j-caffa-13278
Laurentiu Rosu,Laurentiu Dumitru Rosu,1975-10-26,Romania,STR (Striker),Unknown,70.0,170.0,68,67,/player/laurentiu-rosu
Víctor López,Víctor Rubén López,1978-12-19,Argentina,DF (Defender),Left-footed,78.0,181.0,81,81,/player/v-lopez-250013
Laurent Robert,Laurent Robert,1975-05-21,France,MID (Midfielder),Unknown,64.0,173.0,87,87,/player/laurent-robert
Iago Aspas,Iago Aspas Juncal,1987-08-01,Spain,STR (Striker),Left-footed,67.0,176.0,89,82,/player/i-aspas-7408
Beñat,Beñat Extebarria Urkiaga,1987-02-19,Spain,MID (Midfielder),Right,72.0,179.0,82,82,/player/benat-40234
N. Insa,Ignacio Insa Bohigues,1986-06-09,Spain,MID (Midfielder),Two-Footed,70.0,177.0,65,54,/player/n-insa-29830
Manuel Gaspar,Manuel Gaspar Haro,1981-02-02,Spain,DF (Defender),Right,71.0,173.0,65,64,/player/m-gaspar-23533
Albert Serrán,Alberto Serrán,1984-07-17,Spain,DF (Defender),Two-Footed,81.0,183.0,51,51,/player/a-serran-24048
Joan Verdú,Joan Verdú Fernández,1983-05-05,Spain,MID (Midfielder),Right,82.0,176.0,81,50,/player/j-verdu-28116
Fernando Vega,Fernando Vega Torres,1984-07-03,Spain,DF (Defender),Left-footed,71.0,177.0,75,74,/player/fernando-vega-23331
Eidur Gudjohnsen,Eidur Gudjohnsen,1978-09-15,Iceland,STR (Striker),Right,82.0,185.0,83,83,/player/e-gudjohnsen-23566
Serrano,Jesús María Serrano Eugui,1973-04-29,Spain,MID (Midfielder),Unknown,72.0,179.0,62,62,/player/serrano-257664
Damiano Tommasi,Damiano Tommasi,1974-05-17,Italy,MID (Midfielder),Unknown,76.0,180.0,83,83,/player/damiano-tommasi
Daniel Kome,Daniel Armand N'Gom Kome,1980-05-19,Cameroon,MID (Midfielder),Left-footed,73.0,175.0,64,64,/player/daniel-armand-ngom-kome
Pascal Cygan,Pascal Cygan,1974-04-29,France,DF (Defender),Right,85.0,192.0,82,82,/player/pascal-cygan-30384
Óscar Trejo,Óscar Trejo,1988-04-26,Argentina,MID (Midfielder),Right,79.0,180.0,79,73,/player/o-trejo-7576
Rafael Sóbis,Rafael Augusto Sóbis Do Nascimento,1985-06-17,Brazil,STR (Striker),Right,70.0,172.0,83,83,/player/rafael-sobis-7571
Daniel Martino,Daniel Martino Morro,1985-01-30,Spain,DF (Defender),Unknown,76.0,187.0,50,50,/player/daniel-martino-morro
Mario Abrante,Pedro Mario Alvarez Abrante,1982-02-02,Spain,DF (Defender),Right,75.0,178.0,74,72,/player/mario-23508
Germán Herrera,Germán Gustavo Herrera,1983-07-19,Argentina,STR (Striker),Right,78.0,180.0,77,77,/player/g-herrera-7526
Leandro Somoza,Leandro Daniel Somoza,1981-01-26,Argentina,MID (Midfielder),Right,77.0,185.0,77,77,/player/l-somoza-72153
Tobias Grahn,Tobias Grahn,1980-03-15,Sweden,MID (Midfielder),Unknown,77.0,185.0,68,68,/player/tobias-grahn
George Lucas,George Lucas Coser,1984-02-20,Brazil,DF (Defender),Unknown,72.0,175.0,58,58,/player/george-lucas-coser
Batres,Roberto Batres,1986-01-08,Spain,STR (Striker),Right,77.0,188.0,51,51,/player/batres-84049
Juanjo,Juan José Gómez Martínez,1982-08-25,Spain,GOA (Goalkeeper),Unknown,77.0,180.0,35,33,/player/juan-jose-gomez-martinez
De Abreu,Fernando Augusto De Abreu Ferreira,1984-10-03,Brazil,DF (Defender),Unknown,76.0,185.0,48,48,/player/de-abreu-257657
Miguel Pallardó,Miguel Pallardó González,1986-09-05,Spain,MID (Midfielder),Right,73.0,173.0,63,63,/player/pallardo-29352
Pablo Álvarez,Pablo Álvarez Núñez,1980-05-14,Spain,MID (Midfielder),Right,65.0,175.0,69,69,/player/pablo-alvarez-23577
Gianluca Zambrotta,Gianluca Zambrotta,1977-02-19,Italy,DF (Defender),Right,76.0,181.0,85,85,/player/g-zambrotta-7335
Jorge Wágner,Jorge Wágner Goés Conceição,1978-11-17,Brazil,STR (Striker),Left-footed,73.0,178.0,80,79,/player/jorge-wagner-17297
Miguel Torres,Miguel Torres Gómez,1986-01-28,Spain,DF (Defender),Right,81.0,185.0,73,73,/player/m-torres-27011
Felix Ettien,Félix Dja Ettien Yohou,1979-09-26,Unknown,MID (Midfielder),Unknown,77.0,183.0,69,69,/player/felix-ettien
Txerra,Jose Ramon Rodriguez Gomez,1987-07-17,Spain,GOA (Goalkeeper),Right,80.0,186.0,54,54,/player/jose-ramon-35177
Jon Erice,Jon Erice Domínguez,1986-11-03,Spain,MID (Midfielder),Left-footed,72.0,177.0,68,46,/player/erice-29035
Jonathan Pereira,Jonathan Pereira Rodríguez,1987-05-12,Spain,STR (Striker),Right,59.0,167.0,73,73,/player/j-pereira-23692
David Cerra,David Cerrajería Rubio,1983-08-04,Spain,DF (Defender),Unknown,68.0,177.0,61,60,/player/d-cerra-29288
Fabrice Pancrate,Fabrice Pancrate,1980-05-02,France,STR (Striker),Right,80.0,185.0,72,72,/player/f-pancrate-124794
Unai Alba,Unai Alba,1978-02-19,Spain,GOA (Goalkeeper),Unknown,84.0,190.0,62,62,/player/unai-alba-29222
Sousa,Francisco David Sousa,1980-02-03,Spain,MID (Midfielder),Unknown,71.0,173.0,70,70,/player/francisco-david-sousa-franquelo
Pollo Acosta,Adrián Pollo,1983-05-02,Spain,MID (Midfielder),Right,74.0,176.0,56,56,/player/pollo-acosta-30714
Dani,Daniel Fernández Moreno,1973-09-24,Spain,GOA (Goalkeeper),Unknown,77.0,185.0,46,46,/player/dani-269727
Javi Martínez,Javier Martínez Aguinaga,1988-09-02,Spain,MID (Midfielder),Right,81.0,190.0,85,52,/player/j-martinez-29974
Alexis Suárez,José Alejandro Suárez Martín,1974-03-06,Spain,DF (Defender),Unknown,80.0,182.0,77,77,/player/alexis-suarez-257637
Maniche,Nuno Ricardo Oliveira Ribeiro,1977-11-11,Portugal,MID (Midfielder),Right,72.0,173.0,82,82,/player/nuno-ricardo-oliveira-ribeiro
Ruud Van Nistelrooy,Ruud Van Nistelrooy,1976-07-01,Netherlands,STR (Striker),Unknown,80.0,188.0,94,94,/player/r-van-nistelrooy-57961
Francesco Tavano,Francesco Tavano,1979-03-02,Italy,STR (Striker),Right,71.0,173.0,77,77,/player/f-tavano-116834
Carlos Martínez,Carlos Martínez Díez,1986-04-09,Spain,DF (Defender),Right,78.0,188.0,80,80,/player/c-martinez-27428
Isaac Becerra,Isaac Becerra Alguacil,1988-06-18,Spain,GOA (Goalkeeper),Right,81.0,180.0,72,50,/player/i-becerra-29290
Pegúy Luyindula,Peguy Luyindula,1979-05-25,France,STR (Striker),Right,74.0,178.0,81,81,/player/p-luyindula-21313
K. Sola,Enrique Sola Clemente,1986-02-25,Spain,STR (Striker),Right,84.0,184.0,67,67,/player/k-sola-27035
Lilian Thuram,Ruddy Lilian Thuram Ulien,1972-01-01,France,DF (Defender),Right,77.0,185.0,87,87,/player/lilian-thuram
Jonatas,Jonatas Domingos,1982-07-29,Brazil,MID (Midfielder),Unknown,70.0,180.0,68,68,/player/jonatas
Zé Maria,José Marcelo Ferreira,1973-07-12,Brazil,DF (Defender),Unknown,70.0,175.0,83,83,/player/jose-marcelo-ze-maria
Iago Bouzón,Iago Bouzón,1983-06-16,Spain,DF (Defender),Right,74.0,180.0,68,68,/player/iago-bouzon-23402
Bolaño,Christian Fernández Salas,1985-10-15,Spain,DF (Defender),Left-footed,77.0,182.0,74,50,/player/christian-28260
Roberto Abbondanzieri,Roberto Abbondanzieri,1972-08-19,Argentina,GOA (Goalkeeper),Right,88.0,186.0,86,86,/player/roberto-carlos-abbondanzieri
Gabriel Tamas,Gabriel Sebastian Tamaş,1983-11-09,Romania,DF (Defender),Right,79.0,188.0,76,64,/player/g-tamas-34823
Juan Díaz,Juan Díaz,1977-06-28,Spain,MID (Midfielder),Right,82.0,186.0,64,64,/player/juan-diaz-110331
Romero,Vicente Romero Romero,1987-02-08,Spain,MID (Midfielder),Unknown,72.0,177.0,42,42,/player/v-romero-31800
Jacobo,Jacobo Marían Ynclán Pajares,1984-02-04,Spain,MID (Midfielder),Two-Footed,71.0,180.0,67,67,/player/jacobo-34174
Jonathan Vila,Jonathan Vila Pereira,1986-03-06,Spain,MID (Midfielder),Right,78.0,186.0,64,64,/player/j-vila-28957
Bruno Cirillo,Bruno Cirillo,1977-03-21,Italy,DF (Defender),Unknown,75.0,187.0,73,73,/player/b-cirillo-826
Luque,José Antonio Luque Ramírez,1974-02-16,Spain,GOA (Goalkeeper),Unknown,81.0,183.0,74,73,/player/luque-257638
Mohamed Tchité,Mohamed Gasana Tchité,1984-01-31,Burundi,STR (Striker),Left-footed,69.0,176.0,79,79,/player/m-tchite-4798
Éver Banega,Éver Maximiliano David Banega,1988-06-29,Argentina,MID (Midfielder),Right,71.0,174.0,83,72,/player/e-banega-28179
Ion Vélez,Ion Vélez Martínez,1985-02-17,Spain,STR (Striker),Right,78.0,183.0,68,68,/player/ion-velez-29983
Carlos García,Carlos García Badías,1984-04-29,Spain,DF (Defender),Left-footed,82.0,184.0,77,76,/player/c-garcia-30521
Julio Dos Santos,Julio Dos Santos Rodríguez,1983-05-07,Paraguay,MID (Midfielder),Left-footed,90.0,190.0,69,69,/player/j-dos-santos-61817
Oscar Ustari,Oscar Alfredo Ustari,1986-07-03,Argentina,GOA (Goalkeeper),Right,79.0,185.0,83,79,/player/o-ustari-27650
Kike López,Enrique López Delgado,1988-01-12,Spain,DF (Defender),Right,65.0,173.0,61,52,/player/kike-lopez-27019
Víctor Sánchez,Víctor Sánchez Mata,1987-09-08,Spain,MID (Midfielder),Right,73.0,180.0,77,49,/player/victor-sanchez-30356
Iñaki Bea,Iñaki Bea,1978-06-27,Spain,DF (Defender),Right,82.0,184.0,68,68,/player/inaki-bea-jauregui
Fabian Carini,Fabian Carini,1979-12-26,Uruguay,GOA (Goalkeeper),Right,84.0,190.0,72,72,/player/f-carini-130750
Fali,Rafael Romero Serrano,1986-02-22,Spain,DF (Defender),Unknown,70.0,177.0,48,48,/player/rafael-romero-serrano
Cata Díaz,Daniel Alberto Díaz,1979-07-13,Argentina,DF (Defender),Right,80.0,183.0,83,83,/player/d-diaz-23511
Damian Ismodes,Damian Diego Ismodes Saravia,1989-03-10,Peru,MID (Midfielder),Right,71.0,177.0,50,39,/player/d-ismodes-225370
Rosinei,Rosinei Adolfo,1983-05-03,Brazil,MID (Midfielder),Right,63.0,170.0,70,70,/player/rosinei-23993
Juanfran,Juan Francisco Moreno Fuertes,1988-09-11,Spain,DF (Defender),Two-Footed,72.0,179.0,76,67,/player/juanfran-28151
Éric-Sylvain Abidal,Eric Abidal,1979-09-11,France,DF (Defender),Left-footed,75.0,186.0,86,86,/player/e-abidal-8382
Simão,Simão Pedro Fonseca Sabrosa,1979-10-31,Portugal,MID (Midfielder),Right,64.0,173.0,87,87,/player/simao-23526
Thierry Henry,Thierry Daniel Henry,1977-08-17,France,STR (Striker),Right,85.0,188.0,97,97,/player/t-henry-23567
Albert Crusat,Albert Crusat,1982-05-13,Spain,MID (Midfielder),Left-footed,57.0,165.0,78,77,/player/a-crusat-23448
Vladan Kujović,Vladan Kujović,1978-08-23,Serbia,GOA (Goalkeeper),Right,79.0,184.0,73,73,/player/v-kujovic-145657
Víctor Vázquez,Víctor Vázquez Solsona,1987-01-20,Spain,MID (Midfielder),Right,78.0,180.0,77,61,/player/v-vazquez-52783
Vicente Guaita,Vicente Guaita Panadero,1987-01-10,Spain,GOA (Goalkeeper),Right,80.0,190.0,80,75,/player/v-guaita-27206
Didi,Didac Rodríguez González,1985-02-20,Spain,MID (Midfielder),Right,73.0,176.0,46,46,/player/didi-180214
Andrés Guardado,José Andrés Guardado Hernández,1986-09-28,Mexico,MID (Midfielder),Left-footed,60.0,169.0,83,68,/player/a-guardado-23581
Marcos Aguirre,Marcos Sebastián Aguirre,1984-03-30,Argentina,STR (Striker),Right,74.0,170.0,71,71,/player/m-aguirre-17259
Lima,Willian Lanes De Lima,1985-02-10,Brazil,DF (Defender),Right,79.0,182.0,65,65,/player/lima-181187
Luisma,Luis Manuel Villa López,1989-08-11,Spain,MID (Midfielder),Right,65.0,179.0,54,46,/player/luisma-34347
Casado,José Manuel Casado Bizcocho,1986-08-09,Spain,DF (Defender),Left-footed,70.0,173.0,72,72,/player/casado-31685
Richi,Ricardo,1977-04-14,Spain,MID (Midfielder),Right,77.0,187.0,70,70,/player/richi-30468
Wesley Sneijder,Wesley Benjamin Sneijder,1984-06-09,Netherlands,MID (Midfielder),Right,67.0,170.0,86,86,/player/w-sneijder-5893
Carlos Martins,Carlos Jorge Neto Martins,1982-04-29,Portugal,MID (Midfielder),Right,70.0,173.0,74,74,/player/c-martins-47624
Sunny,Stephen Obayan Sunday,1988-09-17,Nigeria,MID (Midfielder),Two-Footed,73.0,180.0,59,59,/player/sunny-33322
Mariano Pavone,Hugo Mariano Pavone,1982-05-27,Argentina,STR (Striker),Two-Footed,81.0,178.0,80,52,/player/m-pavone-23337
Arjen Robben,Arjen Robben,1984-01-23,Netherlands,STR (Striker),Left-footed,75.0,181.0,86,86,/player/a-robben-5736
Ignacio Camacho,Ignacio Camacho Barnola,1990-05-04,Spain,MID (Midfielder),Right,80.0,182.0,78,78,/player/i-camacho-34609
Rio Mavuba,Rio Antonio Mavuba,1984-03-08,France,MID (Midfielder),Right,70.0,172.0,85,85,/player/r-mavuba-3252
Pedro López,Pedro López Muñoz,1983-11-01,Spain,DF (Defender),Right,72.0,174.0,75,75,/player/pedro-lopez-27015
Marco Ruben,Marco Gastón Ruben Rodríguez,1986-10-26,Argentina,STR (Striker),Right,72.0,179.0,85,78,/player/m-ruben-23419
Montejo,Alberto Montejo Gañán,1988-01-19,Spain,MID (Midfielder),Two-Footed,,166.0,49,49,/player/alberto-montejo-ganan-179765
José Ortíz,José Ortíz,1977-08-04,Spain,MID (Midfielder),Left-footed,68.0,172.0,69,69,/player/jose-ortiz-23445
Echaide,Jon Echaide Sola,1988-01-05,Spain,DF (Defender),Right,78.0,180.0,61,46,/player/echaide-30488
David Fernández,David Fernández Cortázar,1985-04-06,Spain,DF (Defender),Two-Footed,81.0,186.0,73,63,/player/david-fernandez-34171
Toni,Antonio Sánchez Cabeza,1985-02-07,Spain,DF (Defender),Left-footed,69.0,172.0,61,60,/player/toni-sanchez-67502
Baraja,Javier Baraja Vegas,1980-08-24,Spain,MID (Midfielder),Left-footed,79.0,179.0,66,64,/player/j-baraja-27016
Gabriel Heinze,Gabriel Heinze,1978-04-19,Argentina,DF (Defender),Left-footed,73.0,178.0,85,85,/player/g-heinze-23342
Henok Goitom,Henok Goitom,1984-09-22,Sweden,STR (Striker),Right,75.0,195.0,77,65,/player/h-goitom-29919
Marañón,Alejandro Marañón,1980-01-01,Spain,DF (Defender),Unknown,75.0,180.0,58,58,/player/alejandro-maranon-perez
Dani Aquino,Daniel Aquino Pintos,1990-07-27,Spain,STR (Striker),Two-Footed,68.0,174.0,64,52,/player/dani-aquino-27469
De Coz,David Gutiérrez De Coz,1980-02-06,Spain,DF (Defender),Right,70.0,178.0,67,67,/player/de-coz-23988
Pedro,Pedro Eliezer Rodríguez Ledesma,1987-07-28,Spain,STR (Striker),Two-Footed,64.0,169.0,86,80,/player/pedro-29477
Ángel,Ángel Diez Ibáñez,1991-01-09,Spain,GOA (Goalkeeper),Right,79.0,184.0,46,32,/player/angel-108893
Álvaro Negredo,Álvaro Negredo Sánchez,1985-08-20,Spain,STR (Striker),Left-footed,85.0,186.0,88,68,/player/a-negredo-13324
Santiago Acasiete,Santiago Acasiete,1977-11-22,Peru,DF (Defender),Right,78.0,182.0,72,71,/player/s-acasiete-23439
Marco Storari,Marco Storari,1977-01-07,Italy,GOA (Goalkeeper),Right,76.0,187.0,76,76,/player/m-storari-780
Seydou Keita,Seydou Kéita,1980-01-16,Mali,MID (Midfielder),Left-footed,77.0,183.0,84,84,/player/s-keita-8475
Aquivaldo Mosquera,Aquivaldo Mosquera,1981-06-22,Colombia,DF (Defender),Right,83.0,183.0,80,80,/player/a-mosquera-19653
Pedro León,Pedro León Sánchez Gil,1986-11-24,Spain,MID (Midfielder),Right,70.0,183.0,82,62,/player/pedro-leon-24020
Piscu,Adrián López Rodríguez,1987-02-25,Spain,DF (Defender),Right,77.0,184.0,57,25,/player/piscu-27061
Marko Babic,Marko Babić,1981-01-28,Croatia,DF (Defender),Unknown,72.0,186.0,78,77,/player/marko-babic
Alberto García,Alberto García Cabrera,1985-02-09,Spain,GOA (Goalkeeper),Right,77.0,182.0,72,69,/player/alberto-garcia-67662
Kiko Casilla,Francisco Casilla Cortés,1986-10-02,Spain,GOA (Goalkeeper),Right,84.0,191.0,78,53,/player/k-casilla-13234
Timo Hildebrand,Timo Hildebrand,1979-04-05,Germany,GOA (Goalkeeper),Unknown,79.0,185.0,84,84,/player/t-hildebrand-7592
Xavier Margairaz,Xavier Margairaz,1984-01-07,Switzerland,MID (Midfielder),Two-Footed,74.0,182.0,71,71,/player/x-margairaz-111061
Congo,Edwin Arturo Congo Murillo,1976-10-07,Colombia,STR (Striker),Unknown,77.0,185.0,62,62,/player/edwin-congo-murillo
Grande,Guillermo Grande Escosa,1985-07-18,Spain,MID (Midfielder),Unknown,,,25,25,/player/grande-257646
Burbu,Jorge Pedro Romero Trullenque,1987-03-21,Spain,STR (Striker),Unknown,,,50,45,/player/burbu-41473
César Ortiz,César Ortiz Puentenueva,1989-01-30,Spain,DF (Defender),Two-Footed,75.0,182.0,65,65,/player/c-ortiz-33327
Markel Susaeta,Markel Susaeta Laskurain,1987-12-14,Spain,MID (Midfielder),Right,68.0,179.0,88,88,/player/m-susaeta-29976
Camuñas,Javier Camuñas,1980-07-17,Spain,MID (Midfielder),Left-footed,71.0,173.0,80,80,/player/camunas-23413
Cléber Santana,Cleber Santana Loureiro,1981-06-27,Brazil,MID (Midfielder),Right,84.0,187.0,81,81,/player/cleber-santana-loureiro
Stéphane Pignol,Stéphane Pignol,1977-03-01,France,DF (Defender),Right,75.0,184.0,70,70,/player/s-pignol-10993
Franck Signorino,Franck Signorino,1981-09-19,France,DF (Defender),Left-footed,67.0,176.0,77,77,/player/f-signorino-8434
Ochoa,Juan Cruz Ochoa,1979-03-04,Spain,DF (Defender),Unknown,75.0,191.0,69,69,/player/ochoa-27285
Souza,Ricardo De Souza Rojas,1989-09-22,Spain,DF (Defender),Right,71.0,174.0,58,50,/player/richi-27571
Alejandro Zamora,Alejandro Zamora Barbero,1984-04-22,Spain,DF (Defender),Right,80.0,186.0,61,61,/player/a-zamora-30671
Alberto,Alberto López Arteseros,1988-03-09,Spain,MID (Midfielder),Right,65.0,180.0,46,46,/player/alberto-29326
Manu Fernández,Manuel Fernández Muñiz,1986-05-09,Spain,GOA (Goalkeeper),Two-Footed,75.0,180.0,64,64,/player/manu-32679
Royston Drenthe,Royston Ricky Drenthe,1987-04-08,Netherlands,STR (Striker),Left-footed,,168.0,64,45,/player/r-drenthe-6042
Aitor Ramos,Aitor Ramos Léniz,1985-06-11,Spain,STR (Striker),Left-footed,73.0,178.0,59,52,/player/aitor-ramos-180312
Pepe,Kléper Laveran Lima Ferreira,1983-02-26,Brazil,DF (Defender),Right,81.0,188.0,90,84,/player/pepe-27010
Igotz Garde,Igotz Garde,1981-10-31,Spain,DF (Defender),Unknown,79.0,182.0,54,54,/player/igotz-garde-34756
Alberto Botía,Alberto Botía Rabasco,1989-01-27,Spain,DF (Defender),Right,80.0,187.0,73,47,/player/botia-27927
Rafa,Rafael López Gómez,1985-04-09,Spain,DF (Defender),Right,72.0,183.0,76,76,/player/rafa-27113
Rueda,Jose Manuel Rueda Sanpedro,1988-01-30,Spain,MID (Midfielder),Right,72.0,175.0,55,44,/player/rueda-29469
Óscar Sánchez,Óscar Sánchez,1979-12-19,Spain,DF (Defender),Left-footed,72.0,180.0,68,68,/player/oscar-sanchez-23370
Mathías Vidangossy,Mathías Leonardo Vidangossy Rebolledo,1987-05-25,Chile,MID (Midfielder),Right,67.0,172.0,63,51,/player/mathias-vidangossy-94636
René,René Román Hinojo,1983-12-15,Spain,GOA (Goalkeeper),Right,84.0,183.0,70,56,/player/rene-35189
Bojan,Bojan Krkíc Pérez,1990-08-28,Spain,STR (Striker),Right,65.0,170.0,75,48,/player/bojan-23568
Feli Condesso,Feliciano Prudêncio De Assunção Condesso,1987-04-06,Portugal,MID (Midfielder),Unknown,72.0,180.0,48,48,/player/feliciano-prudencio-de-assuncao
